id_log,symbol,date_log,time_log,price,price_ave,increased,volume,google_trend,twitter_sent
58,BTC,07-05-2018,07:22:47,9362.24214864,9368.17398533429,1,14793301,85,0.123932477868573
59,DASH,07-05-2018,07:22:54,467.35858427,466.728288208571,0,536992,54,0.193312313855243
60,LTC,07-05-2018,07:22:58,164.19905079,164.969426857143,1,2049242,60,0.227828460662968
61,BTC,07-05-2018,07:32:04,9282.14469866,9362.10527891571,0,14669124,82,0.0255722402597403
62,DASH,07-05-2018,07:32:09,463.15,467.07613836,0,537733,49,0.101160413660414
63,LTC,07-05-2018,07:32:14,161.53060193,164.787389898571,0,2051639,65,0.248629026754027
64,BTC,07-05-2018,07:41:20,9313.8522792,9358.11938948429,1,14790880,84,0.149240717527901
65,DASH,07-05-2018,07:41:25,459.96558447,467.127459728571,0,541291,49,0.0535369439401698
66,LTC,07-05-2018,07:41:31,161.7,164.643968577143,1,2066297,58,0.250513406120024
67,BTC,07-05-2018,07:50:37,9323.01252783,9343.95330770714,1,14910434,82,0.139577821869489
68,DASH,07-05-2018,07:50:47,459.96558447,466.577614485714,0,546320,44,0.0789391725998869
69,LTC,07-05-2018,07:50:51,161.7,164.134054567143,0,2104582,51,0.198820633874982
70,BTC,07-05-2018,07:59:57,9256.94248738,9335.00433513143,0,14942339,86,0.161155495784172
71,DASH,07-05-2018,08:00:02,458.3220015,465.708069915714,0,539487,44,0.0838417560700169
72,LTC,07-05-2018,08:00:07,161.01,163.609040284286,0,2093399,43,0.182274234886175
73,BTC,07-05-2018,08:09:11,9330.33571031,9326.72041053571,1,15147815,84,0.187688540813541
74,DASH,07-05-2018,08:09:17,457.5,464.703248467143,0,516949,46,0.100788897349787
75,LTC,07-05-2018,08:09:22,161.7784817,163.017529964286,1,2101469,100,0.196131086989296
76,BTC,07-05-2018,08:18:27,9320.33571031,9315.23770354857,0,15146347,79,0.109785128066378
77,DASH,07-05-2018,08:18:33,460.613612,463.46362952,1,521975,48,0.120350384569135
78,LTC,07-05-2018,08:18:38,163.09999999,162.572942001429,1,2097044,54,0.136265922555535
79,BTC,07-05-2018,08:27:43,9388.91660601,9315.29270101286,1,15056885,79,0.0633411166459112
80,DASH,07-05-2018,08:27:48,459.788,462.107014604286,0,520732,51,0.0921618754888957
81,LTC,07-05-2018,08:27:55,163.73268516,162.255582244286,1,2066175,62,0.116529833352074
82,BTC,07-05-2018,08:36:59,9389.953393,9312.69508033286,1,15045865,82,0.134499974232117
83,DASH,07-05-2018,08:37:05,463.822205,460.982195244286,1,522090,48,0.129314084998925
84,LTC,07-05-2018,08:37:09,164.1,162.145447772857,1,2074776,65,0.105300732253857
85,BTC,07-05-2018,08:46:14,9392.0,9316.5057171,1,15146619,80,0.131743265993266
86,DASH,07-05-2018,08:46:19,464.0,459.900683205714,1,522790,43,0.1568895641542
87,LTC,07-05-2018,08:46:24,164.5,162.078824111429,1,2080138,57,0.0917262170019523
88,BTC,07-05-2018,08:55:29,9380.0,9331.90695914857,0,14414816,81,0.130925544645057
89,DASH,07-05-2018,08:55:35,464.0,459.996712491429,0,507957,49,0.103213929369641
90,LTC,07-05-2018,08:55:39,164.80303359,162.445880978571,1,2103724,58,0.0726153581267218
91,BTC,07-05-2018,09:04:45,9359.0,9343.07091926286,0,14453407,81,0.126925686462324
92,DASH,07-05-2018,09:04:49,461.49621079,460.573057567143,0,507936,47,0.0298878337271194
93,LTC,07-05-2018,09:05:00,162.85760007,162.845880978571,0,2066698,50,0.0643604797979798
94,BTC,07-05-2018,09:14:13,9336.543807,9351.21198671571,0,14458587,79,0.137324837935633
95,DASH,07-05-2018,09:14:18,466.14131511,461.149402642857,1,507912,61,0.0970005411255411
96,LTC,07-05-2018,09:14:23,162.22263665,163.289171491429,0,2057482,64,0.0439259116589625
97,BTC,07-05-2018,09:23:28,9357.48617599,9365.79163137571,1,14466452,79,0.1423598835578
98,DASH,07-05-2018,09:23:34,466.14131511,461.602861112857,0,497638,51,0.109860928913959
99,LTC,07-05-2018,09:23:38,162.554,163.553114358571,1,2049043,56,0.0579020039100684
100,BTC,07-05-2018,09:32:43,9288.00000031,9366.67850233143,0,14498684,76,0.079262987012987
101,DASH,07-05-2018,09:32:49,466.77869808,462.8373347,1,497633,50,0.0635218975468975
102,LTC,07-05-2018,09:32:53,161.25340067,163.616565065714,0,2048261,43,0.0748507043087121
103,BTC,07-05-2018,09:41:58,9322.99999948,9371.98571171429,1,14515165,80,0.0750385154061625
104,DASH,07-05-2018,09:42:04,466.77869621,463.627006572857,0,497672,45,0.112921343060232
105,LTC,07-05-2018,09:42:10,161.77806354,163.538565067143,1,2044513,55,0.102814719460227
106,BTC,07-05-2018,09:51:15,9280.00000004,9357.56905375714,0,14571370,84,0.113094073647871
107,DASH,07-05-2018,09:51:20,466.77869621,464.625677727143,0,497647,43,0.129553789777474
